locus_tag	ftype	length_bp	gene	EC_number	COG	product
ILPPLFEM_00001	CDS	3801				hypothetical protein
ILPPLFEM_00002	CDS	273				hypothetical protein
ILPPLFEM_00003	CDS	7149				hypothetical protein
ILPPLFEM_00004	CDS	489				hypothetical protein
ILPPLFEM_00005	CDS	7002				hypothetical protein
ILPPLFEM_00006	CDS	459				hypothetical protein
ILPPLFEM_00007	CDS	606				hypothetical protein
ILPPLFEM_00008	CDS	408				hypothetical protein
ILPPLFEM_00009	CDS	534				hypothetical protein
ILPPLFEM_00010	CDS	378				hypothetical protein
ILPPLFEM_00011	CDS	435				hypothetical protein
ILPPLFEM_00012	CDS	1182				hypothetical protein
ILPPLFEM_00013	CDS	774				hypothetical protein
ILPPLFEM_00014	CDS	702				hypothetical protein
ILPPLFEM_00015	CDS	2295				hypothetical protein
ILPPLFEM_00016	CDS	1716				hypothetical protein
ILPPLFEM_00017	CDS	792				hypothetical protein
ILPPLFEM_00018	CDS	969	cysH_1	1.8.4.8		Phosphoadenosine phosphosulfate reductase
ILPPLFEM_00019	CDS	540				hypothetical protein
ILPPLFEM_00020	CDS	189				hypothetical protein
ILPPLFEM_00021	CDS	555				hypothetical protein
ILPPLFEM_00022	CDS	270				hypothetical protein
ILPPLFEM_00023	CDS	561				hypothetical protein
ILPPLFEM_00024	CDS	348				hypothetical protein
ILPPLFEM_00025	CDS	447				hypothetical protein
ILPPLFEM_00026	CDS	189				hypothetical protein
ILPPLFEM_00027	CDS	408				hypothetical protein
ILPPLFEM_00028	CDS	279				hypothetical protein
ILPPLFEM_00029	CDS	225				hypothetical protein
ILPPLFEM_00030	CDS	387				hypothetical protein
ILPPLFEM_00031	CDS	207				hypothetical protein
ILPPLFEM_00032	CDS	1566				hypothetical protein
ILPPLFEM_00033	CDS	228				hypothetical protein
ILPPLFEM_00034	CDS	549				hypothetical protein
ILPPLFEM_00035	CDS	303				hypothetical protein
ILPPLFEM_00036	CDS	252				hypothetical protein
ILPPLFEM_00037	CDS	234				hypothetical protein
ILPPLFEM_00038	CDS	210				hypothetical protein
ILPPLFEM_00039	CDS	288				hypothetical protein
ILPPLFEM_00040	CDS	219				hypothetical protein
ILPPLFEM_00041	CDS	153				hypothetical protein
ILPPLFEM_00042	CDS	177				hypothetical protein
ILPPLFEM_00043	CDS	237				hypothetical protein
ILPPLFEM_00044	CDS	240				hypothetical protein
ILPPLFEM_00045	CDS	540				hypothetical protein
ILPPLFEM_00046	CDS	396				hypothetical protein
ILPPLFEM_00047	CDS	705				hypothetical protein
ILPPLFEM_00048	CDS	831				hypothetical protein
ILPPLFEM_00049	CDS	183				hypothetical protein
ILPPLFEM_00050	CDS	234				hypothetical protein
ILPPLFEM_00051	CDS	1266				hypothetical protein
ILPPLFEM_00052	CDS	246				hypothetical protein
ILPPLFEM_00053	CDS	453				hypothetical protein
ILPPLFEM_00054	CDS	1038				hypothetical protein
ILPPLFEM_00055	CDS	423				hypothetical protein
ILPPLFEM_00056	CDS	435				hypothetical protein
ILPPLFEM_00057	CDS	366				hypothetical protein
ILPPLFEM_00058	CDS	1044				hypothetical protein
ILPPLFEM_00059	CDS	423				hypothetical protein
ILPPLFEM_00060	CDS	243				hypothetical protein
ILPPLFEM_00061	CDS	429				hypothetical protein
ILPPLFEM_00062	CDS	204				hypothetical protein
ILPPLFEM_00063	CDS	795				hypothetical protein
ILPPLFEM_00064	CDS	309				hypothetical protein
ILPPLFEM_00065	CDS	495				hypothetical protein
ILPPLFEM_00066	CDS	204				hypothetical protein
ILPPLFEM_00067	CDS	1188				hypothetical protein
ILPPLFEM_00068	CDS	486				hypothetical protein
ILPPLFEM_00069	CDS	690				hypothetical protein
ILPPLFEM_00070	CDS	222				hypothetical protein
ILPPLFEM_00071	CDS	240				hypothetical protein
ILPPLFEM_00072	CDS	753				hypothetical protein
ILPPLFEM_00073	CDS	204				hypothetical protein
ILPPLFEM_00074	tRNA	75				tRNA-Arg(cct)
ILPPLFEM_00075	tRNA	74				tRNA-Met(cat)
ILPPLFEM_00076	tRNA	75				tRNA-Asn(gtt)
ILPPLFEM_00077	tRNA	81				tRNA-Gly(acc)
ILPPLFEM_00078	CDS	264				hypothetical protein
ILPPLFEM_00079	CDS	465				hypothetical protein
ILPPLFEM_00080	CDS	384				hypothetical protein
ILPPLFEM_00081	CDS	402				hypothetical protein
ILPPLFEM_00082	CDS	417				hypothetical protein
ILPPLFEM_00083	CDS	507				hypothetical protein
ILPPLFEM_00084	CDS	234				hypothetical protein
ILPPLFEM_00085	CDS	879				hypothetical protein
ILPPLFEM_00086	CDS	1470				hypothetical protein
ILPPLFEM_00087	CDS	681				hypothetical protein
ILPPLFEM_00088	CDS	2448				hypothetical protein
ILPPLFEM_00089	CDS	438				hypothetical protein
ILPPLFEM_00090	CDS	438				hypothetical protein
ILPPLFEM_00091	CDS	414				hypothetical protein
ILPPLFEM_00092	CDS	666				hypothetical protein
ILPPLFEM_00093	CDS	123				hypothetical protein
ILPPLFEM_00094	CDS	576				hypothetical protein
ILPPLFEM_00095	CDS	297				hypothetical protein
ILPPLFEM_00096	CDS	132				hypothetical protein
ILPPLFEM_00097	CDS	966				hypothetical protein
ILPPLFEM_00098	CDS	198				hypothetical protein
ILPPLFEM_00099	CDS	726				hypothetical protein
ILPPLFEM_00100	CDS	204				hypothetical protein
ILPPLFEM_00101	CDS	555				hypothetical protein
ILPPLFEM_00102	CDS	177				hypothetical protein
ILPPLFEM_00103	CDS	342				hypothetical protein
ILPPLFEM_00104	CDS	345				hypothetical protein
ILPPLFEM_00105	CDS	657				hypothetical protein
ILPPLFEM_00106	CDS	150				hypothetical protein
ILPPLFEM_00107	CDS	132				hypothetical protein
ILPPLFEM_00108	CDS	405				hypothetical protein
ILPPLFEM_00109	CDS	423				hypothetical protein
ILPPLFEM_00110	CDS	435				hypothetical protein
ILPPLFEM_00111	CDS	180				hypothetical protein
ILPPLFEM_00112	CDS	162				hypothetical protein
ILPPLFEM_00113	CDS	378				hypothetical protein
