,reference,reflen,coverage,product
8360,NODE_2446,3232,64.3,Arsenical-resistance protein Acr3
6715,NODE_45,28638,26.0,Bifunctional polymyxin resistance protein ArnA
3985,NODE_832,6259,46.3,Cobalt-zinc-cadmium resistance protein CzcA
3986,NODE_832,6259,46.3,Cobalt-zinc-cadmium resistance protein CzcB
1563,NODE_2661,3058,91.5,Colistin resistance protein EmrA
1564,NODE_2661,3058,91.5,Colistin resistance protein EmrA
2411,NODE_215,13020,27.0,Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
7430,NODE_136,16294,26.0,Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
158,NODE_1676,4090,81.3,Fosmidomycin resistance protein
7849,NODE_8410,1542,77.3,Linearmycin resistance ATP-binding protein LnrL
6264,NODE_29,35207,27.8,Multidrug resistance ABC transporter ATP-binding and permease protein
2784,NODE_232,12485,31.9,Multidrug resistance protein MdtA
4566,NODE_97,19553,27.4,Multidrug resistance protein MdtA
5402,NODE_12,45672,45.6,Multidrug resistance protein MdtA
5834,NODE_10,46280,59.8,Multidrug resistance protein MdtA
4568,NODE_97,19553,27.4,Multidrug resistance protein MdtB
4567,NODE_97,19553,27.4,Multidrug resistance protein MdtB
5401,NODE_12,45672,45.6,Multidrug resistance protein MdtC
5835,NODE_10,46280,59.8,Multidrug resistance protein MdtC
2783,NODE_232,12485,31.9,Multidrug resistance protein MdtC
4897,NODE_17,41269,29.9,Multidrug resistance protein MdtK
3102,NODE_465,8695,37.5,Tetracycline resistance protein TetO
2631,NODE_204,13262,44.9,"Tetracycline resistance protein, class C"
